idTram,Tram,Descripcion,fecha_limpia,tempsActual
1,271,Aragó (Meridiana a Cartagena),2026-01-01 00:00:00,301.75
1,271,Aragó (Meridiana a Cartagena),2026-01-01 01:00:00,303.8333333333333
1,271,Aragó (Meridiana a Cartagena),2026-01-01 02:00:00,302.4
1,271,Aragó (Meridiana a Cartagena),2026-01-01 03:00:00,241.2
1,271,Aragó (Meridiana a Cartagena),2026-01-01 04:00:00,301.0
1,271,Aragó (Meridiana a Cartagena),2026-01-01 05:00:00,300.6
1,271,Aragó (Meridiana a Cartagena),2026-01-01 06:00:00,300.0
1,271,Aragó (Meridiana a Cartagena),2026-01-01 07:00:00,301.4
1,271,Aragó (Meridiana a Cartagena),2026-01-01 08:00:00,300.0
1,271,Aragó (Meridiana a Cartagena),2026-01-01 09:00:00,300.4
1,271,Aragó (Meridiana a Cartagena),2026-01-01 10:00:00,300.4
1,271,Aragó (Meridiana a Cartagena),2026-01-01 11:00:00,301.4
1,271,Aragó (Meridiana a Cartagena),2026-01-01 12:00:00,303.6
1,271,Aragó (Meridiana a Cartagena),2026-01-01 13:00:00,305.25
1,271,Aragó (Meridiana a Cartagena),2026-01-01 14:00:00,304.14285714285717
1,271,Aragó (Meridiana a Cartagena),2026-01-01 15:00:00,302.0
1,271,Aragó (Meridiana a Cartagena),2026-01-01 16:00:00,302.8
1,271,Aragó (Meridiana a Cartagena),2026-01-01 17:00:00,303.8
1,271,Aragó (Meridiana a Cartagena),2026-01-01 18:00:00,304.4
1,271,Aragó (Meridiana a Cartagena),2026-01-01 19:00:00,305.5
1,271,Aragó (Meridiana a Cartagena),2026-01-01 20:00:00,304.4
1,271,Aragó (Meridiana a Cartagena),2026-01-01 21:00:00,302.8333333333333
1,271,Aragó (Meridiana a Cartagena),2026-01-01 22:00:00,301.8
1,271,Aragó (Meridiana a Cartagena),2026-01-01 23:00:00,300.2
1,271,Aragó (Meridiana a Cartagena),2026-01-02 00:00:00,300.0
1,271,Aragó (Meridiana a Cartagena),2026-01-02 01:00:00,300.0
1,271,Aragó (Meridiana a Cartagena),2026-01-02 02:00:00,300.0
1,271,Aragó (Meridiana a Cartagena),2026-01-02 03:00:00,300.0
1,271,Aragó (Meridiana a Cartagena),2026-01-02 04:00:00,300.0
1,271,Aragó (Meridiana a Cartagena),2026-01-02 05:00:00,300.8333333333333
1,271,Aragó (Meridiana a Cartagena),2026-01-02 06:00:00,301.4
1,271,Aragó (Meridiana a Cartagena),2026-01-02 07:00:00,302.6
1,271,Aragó (Meridiana a Cartagena),2026-01-02 08:00:00,305.5
1,271,Aragó (Meridiana a Cartagena),2026-01-02 09:00:00,304.8
1,271,Aragó (Meridiana a Cartagena),2026-01-02 10:00:00,307.5
1,271,Aragó (Meridiana a Cartagena),2026-01-02 11:00:00,309.3333333333333
1,271,Aragó (Meridiana a Cartagena),2026-01-02 12:00:00,312.0
1,271,Aragó (Meridiana a Cartagena),2026-01-02 13:00:00,308.8333333333333
1,271,Aragó (Meridiana a Cartagena),2026-01-02 14:00:00,306.3333333333333
1,271,Aragó (Meridiana a Cartagena),2026-01-02 15:00:00,305.0
1,271,Aragó (Meridiana a Cartagena),2026-01-02 16:00:00,305.6
1,271,Aragó (Meridiana a Cartagena),2026-01-02 17:00:00,308.0
1,271,Aragó (Meridiana a Cartagena),2026-01-02 18:00:00,308.0
1,271,Aragó (Meridiana a Cartagena),2026-01-02 19:00:00,305.8333333333333
1,271,Aragó (Meridiana a Cartagena),2026-01-02 20:00:00,304.3333333333333
1,271,Aragó (Meridiana a Cartagena),2026-01-02 21:00:00,304.4
1,271,Aragó (Meridiana a Cartagena),2026-01-02 22:00:00,302.0
1,271,Aragó (Meridiana a Cartagena),2026-01-02 23:00:00,301.8
1,271,Aragó (Meridiana a Cartagena),2026-01-03 00:00:00,301.8
1,271,Aragó (Meridiana a Cartagena),2026-01-03 01:00:00,300.2
1,271,Aragó (Meridiana a Cartagena),2026-01-03 02:00:00,300.0
1,271,Aragó (Meridiana a Cartagena),2026-01-03 03:00:00,300.0
1,271,Aragó (Meridiana a Cartagena),2026-01-03 04:00:00,300.2
1,271,Aragó (Meridiana a Cartagena),2026-01-03 05:00:00,300.0
1,271,Aragó (Meridiana a Cartagena),2026-01-03 06:00:00,300.6
