idTram,infoDisponible,data,tempsActual,tempsPrevist,tempsRecorregutFutur,factorReferenciaActual,tendencia
62,0,20260101004107,0,0,-1,-1,-1
63,0,20260101004107,0,0,-1,-1,-1
64,0,20260101004107,0,0,-1,-1,-1
65,1,20260101004107,135,135,1,1,1
66,1,20260101004107,103,105,1,1,1
67,1,20260101004107,230,231,1,1,1
68,1,20260101004107,116,115,1,1,1
69,1,20260101004107,118,123,1,1,1
70,1,20260101004107,124,127,1,1,1
71,0,20260101004107,98,99,1,1,1
72,0,20260101004107,173,170,1,1,1
73,0,20260101004107,115,118,1,1,1
74,0,20260101004107,92,92,1,1,1
75,0,20260101004107,233,239,1,1,1
76,0,20260101004107,80,85,1,1,1
77,1,20260101004107,430,430,1,1,1
78,1,20260101004107,0,0,-1,-1,-1
1,1,20260101005121,304,303,1,1,1
2,1,20260101005121,0,0,-1,-1,-1
3,1,20260101005121,306,305,1,1,1
4,1,20260101005121,326,325,1,1,1
5,1,20260101005121,0,0,-1,-1,-1
6,1,20260101005121,0,0,-1,-1,-1
7,1,20260101005121,185,184,1,1,1
8,0,20260101005121,0,0,-1,-1,-1
9,0,20260101005121,0,0,-1,-1,-1
10,1,20260101005121,171,171,1,1,1
11,1,20260101005121,0,0,-1,-1,-1
12,1,20260101005121,101,100,1,1,1
13,1,20260101005121,232,231,1,1,1
14,0,20260101005121,0,0,-1,-1,-1
15,1,20260101005121,220,220,1,1,1
16,1,20260101005121,237,237,1,1,1
17,1,20260101005121,192,192,1,1,1
18,1,20260101005121,0,0,-1,-1,-1
19,0,20260101005121,0,0,-1,-1,-1
20,0,20260101005121,0,0,-1,-1,-1
21,1,20260101005121,0,0,-1,-1,-1
22,1,20260101005121,270,270,1,1,1
23,1,20260101005121,189,189,1,1,1
24,1,20260101005121,240,240,1,1,1
25,1,20260101005121,0,0,-1,-1,-1
26,1,20260101005121,260,260,1,1,1
27,1,20260101005121,185,185,1,1,1
28,1,20260101005121,0,0,-1,-1,-1
29,1,20260101005121,0,0,-1,-1,-1
30,1,20260101005121,0,0,-1,-1,-1
31,1,20260101005121,219,219,1,1,1
32,1,20260101005121,179,179,1,1,1
33,1,20260101005121,0,0,-1,-1,-1
34,1,20260101005121,221,220,1,1,1
35,1,20260101005121,154,153,1,1,1
36,1,20260101005121,0,0,-1,-1,-1
37,1,20260101005121,205,205,1,1,1
38,1,20260101005121,206,205,1,1,1
39,1,20260101005121,0,0,-1,-1,-1
40,1,20260101005121,289,289,1,1,1
41,0,20260101005121,0,0,-1,-1,-1
42,1,20260101005121,224,219,1,1,1
43,0,20260101005121,0,0,-1,-1,-1
44,0,20260101005121,0,0,-1,-1,-1
45,0,20260101005121,0,0,-1,-1,-1
46,0,20260101005121,0,0,-1,-1,-1
47,1,20260101005121,180,180,1,1,1
48,0,20260101005121,0,0,-1,-1,-1
49,1,20260101005121,304,304,1,1,1
50,1,20260101005121,0,0,-1,-1,-1
51,1,20260101005121,269,269,1,1,1
52,1,20260101005121,0,0,-1,-1,-1
53,1,20260101005121,149,149,1,1,1
54,1,20260101005121,164,164,1,1,1
55,1,20260101005121,0,0,-1,-1,-1
56,1,20260101005121,0,0,-1,-1,-1
57,1,20260101005121,0,0,-1,-1,-1
58,1,20260101005121,0,0,-1,-1,-1
59,1,20260101005121,164,164,1,1,1
60,1,20260101005121,416,415,1,1,1
61,1,20260101005121,0,0,-1,-1,-1
62,0,20260101005121,0,0,-1,-1,-1
63,0,20260101005121,0,0,-1,-1,-1
64,0,20260101005121,0,0,-1,-1,-1
65,1,20260101005121,135,133,1,1,1
66,1,20260101005121,103,102,1,1,1
67,1,20260101005121,230,232,1,1,1
68,1,20260101005121,116,118,1,1,1
69,1,20260101005121,118,123,1,1,1
70,1,20260101005121,124,135,1,1,1
71,0,20260101005121,98,98,1,1,1
72,0,20260101005121,173,168,1,1,1
73,0,20260101005121,115,116,1,1,1
74,0,20260101005121,92,90,1,1,1
75,0,20260101005121,233,230,1,1,1
76,0,20260101005121,80,85,1,1,1
77,1,20260101005121,431,430,1,1,1
78,1,20260101005121,0,0,-1,-1,-1
1,1,20260101010058,303,303,1,1,1
2,1,20260101010058,0,0,-1,-1,-1
3,1,20260101010058,306,306,1,1,1
4,1,20260101010058,327,325,1,1,1
5,1,20260101010058,0,0,-1,-1,-1
6,1,20260101010058,276,275,1,1,1
7,1,20260101010058,188,186,1,1,1
8,0,20260101010058,0,0,-1,-1,-1
9,0,20260101010058,0,0,-1,-1,-1
10,1,20260101010058,171,171,1,1,1
11,1,20260101010058,0,0,-1,-1,-1
12,1,20260101010058,99,99,1,1,1
13,1,20260101010058,231,231,1,1,1
14,0,20260101010058,0,0,-1,-1,-1
15,1,20260101010058,221,220,1,1,1
16,1,20260101010058,239,238,1,1,1
17,1,20260101010058,193,192,1,1,1
18,1,20260101010058,0,0,-1,-1,-1
19,0,20260101010058,0,0,-1,-1,-1
20,0,20260101010058,0,0,-1,-1,-1
21,1,20260101010058,0,0,-1,-1,-1
22,1,20260101010058,270,270,1,1,1
23,1,20260101010058,189,189,1,1,1
24,1,20260101010058,240,240,1,1,1
25,1,20260101010058,0,0,-1,-1,-1
26,1,20260101010058,260,260,1,1,1
27,1,20260101010058,186,185,1,1,1
28,1,20260101010058,0,0,-1,-1,-1
29,1,20260101010058,0,0,-1,-1,-1
30,1,20260101010058,0,0,-1,-1,-1
31,1,20260101010058,219,219,1,1,1
32,1,20260101010058,180,180,1,1,1
33,1,20260101010058,0,0,-1,-1,-1
34,1,20260101010058,220,220,1,1,1
35,1,20260101010058,155,154,1,1,1
36,1,20260101010058,0,0,-1,-1,-1
37,1,20260101010058,206,205,1,1,1
38,1,20260101010058,205,205,1,1,1
39,1,20260101010058,0,0,-1,-1,-1
40,1,20260101010058,289,289,1,1,1
41,0,20260101010058,0,0,-1,-1,-1
